FN,LN,School,Department,City,State,OQ,WTA,LOD,gives good feedback,respected,lots of homework,accessible outside class,get ready to read,participation matters,skip class? you won't pass.,inspirational,graded by few things,test heavy,group projects,clear grading criteria,hilarious,beware of pop quizzes,amazing lectures,lecture heavy,caring,extra credit,so many papers,tough grader,number of comments,prof_id,num_female_words,num_male_words,percent_female,gender
Todd,Idson,Boston University,Economics,Boston,MA,3.6,55,3,3,6,1,2,9,0,8,6,23,12,0,13,4,0,7,22,6,0,0,9,278,67948,0,3964,0,male
Barak,Caine,Boston University,Psychology,Boston,MA,4.6,76,2.2,9,33,0,1,2,11,27,21,6,4,0,18,19,3,40,4,4,11,0,3,256,246926,34,6072,0.005568293,male
Dan,Dill,Boston University,Chemistry,Boston,MA,2.8,69,4.2,6,3,13,10,2,4,36,1,0,7,0,1,6,16,2,7,7,0,0,35,219,79655,86,4470,0.018876207,male
Trudi,Feinstein,Boston University,Psychology,Boston,MA,2.8,N/,1.9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,213,68037,4223,0,1,female
David,Shim,Boston University,Psychology,Boston,MA,3.7,63,2.7,0,13,0,1,0,1,23,11,4,4,1,2,28,0,20,6,4,0,1,19,211,76748,0,5003,0,male
Ranjan,Panth,Boston University,Ma,Boston,MA,3.8,94,2.6,5,15,13,6,0,0,15,3,2,1,0,13,18,0,17,2,14,0,0,7,201,369651,0,3888,0,male
Michael,Corgan,Boston University,International Studies,Boston,MA,3.8,58,2.9,0,3,0,1,6,0,5,2,1,0,0,4,6,1,6,6,0,0,0,7,188,508354,26,2468,0.01042502,male
Tammy,Vigil,Boston University,Communication,Boston,MA,2.3,13,3.4,2,0,9,2,11,1,8,0,6,3,6,4,1,0,0,20,1,11,6,30,177,67936,4730,34,0.99286314,female
Tracy,Dunne,Boston University,Psychology,Boston,MA,3.8,58,2.7,1,6,0,2,3,1,12,2,10,7,0,13,26,0,16,10,1,0,0,12,165,486654,4813,17,0.996480331,female
Mark,Kean,Boston University,Business,Boston,MA,4.5,100,2.6,5,17,4,6,1,2,4,4,1,5,0,4,1,6,4,0,12,0,0,4,162,248865,0,2559,0,male
Bruce,Watson,Boston University,Economics,Boston,MA,4.1,89,2.6,1,7,8,4,1,0,2,2,3,3,1,26,8,1,13,6,4,1,0,10,158,1048176,0,3402,0,male
David,Bedard,Boston University,Finance,Boston,MA,4.9,99,3,34,74,1,67,0,19,18,47,6,5,1,8,59,0,56,0,39,0,0,1,155,2148435,0,5212,0,male
Fred,Wasserman,Boston University,Science,Boston,MA,4,79,2.7,0,9,0,3,0,10,5,1,4,3,0,3,6,0,6,9,7,0,0,2,154,67887,0,2456,0,male
Jay,Zagorsky,Boston University,Economics,Boston,MA,4,85,2.7,0,9,0,0,1,0,0,4,5,3,0,9,16,1,11,7,2,6,0,1,153,508845,0,3002,0,male
Elizabeth,Godrick,Boston University,Biology,Boston,MA,2.8,N/,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,49162,3094,17,0.994535519,female
Issac,Fried,Boston University,Ma,Boston,MA,2.9,38,2.7,0,0,4,3,0,0,3,0,1,2,0,4,1,0,0,1,0,1,0,2,142,67987,68,2501,0.026469443,male
Mamikon,Ginovyan,Boston University,Ma,Boston,MA,3.5,52,2.6,3,1,14,0,2,1,3,0,3,2,0,5,0,0,0,8,3,0,0,9,141,479059,0,2442,0,male
Dan,Weiner,Boston University,Ma,Boston,MA,4.2,73,2.3,2,7,1,1,0,0,22,2,4,4,0,17,13,0,13,7,1,0,0,6,134,68130,0,2654,0,male
Richard,Ely,Boston University,Psychology,Boston,MA,4.1,N/,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,67953,50,1690,0.028735632,male
Aaron,Stevens,Boston University,Computer Science,Boston,MA,3.3,50,3.4,3,1,16,2,2,5,6,0,0,1,0,4,2,1,1,1,1,1,0,17,132,601493,0,2527,0,male
Irina,Kristy,Boston University,Ma,Boston,MA,1.9,N/,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,68036,2867,13,0.995486111,female
David,Sullivan,Boston University,Computer Science,Boston,MA,4.7,91,2.8,8,29,31,2,0,11,9,14,1,0,1,13,7,0,23,2,12,1,0,5,132,953067,0,2358,0,male
Moshe,Hagigi,Boston University,Accounting,Boston,MA,4,72,3.3,1,17,1,3,1,19,22,6,1,5,0,5,7,0,6,4,10,0,0,7,129,72167,47,2947,0.015698063,male
John,Straub,Boston University,Chemistry,Boston,MA,4.5,100,3.3,6,12,6,6,0,0,9,4,0,2,0,5,3,0,17,2,9,0,0,3,128,78388,0,1720,0,male
Stefan,Hofmann,Boston University,Psychology,Boston,MA,3.7,76,2.8,0,3,0,0,15,2,2,10,9,5,0,6,12,0,8,7,1,0,0,17,128,104486,26,1846,0.013888889,male
Alvard,Arazyan,Boston University,Ma,Boston,MA,3.3,32,3.1,4,1,8,3,4,0,7,0,5,5,0,6,6,2,4,4,2,0,0,10,128,524162,4042,26,0.993608653,female
Bruno,Rubio,Boston University,Chemistry,Boston,MA,4.2,81,3,0,6,1,4,1,0,14,1,2,3,0,8,23,0,11,5,2,0,0,14,128,144325,0,2540,0,male
Monica,Stoica,Boston University,Computer Science,Boston,MA,2,N/,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,64638,2154,59,0.973339358,female
Jacqueline,Liederman,Boston University,Psychology,Boston,MA,2.9,N/,3.5,0,2,0,0,0,2,0,0,0,0,0,1,1,0,0,1,0,1,0,9,125,67930,2890,0,1,female
Mihail,Frumosu,Boston University,Ma,Boston,MA,1.9,N/,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,69509,13,1545,0.008344031,male
Mirco,Soffritti,Boston University,Economics,Boston,MA,3,N/,2.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,121,517062,0,2384,0,male
Clifford,Backman,Boston University,History,Boston,MA,4.5,88,2.2,1,5,0,1,3,3,2,1,2,0,0,0,7,1,7,1,6,0,0,0,118,67967,66,1971,0.032400589,male
Bruce,J.,Boston University,History,Boston,MA,4.3,N/,3.1,2,4,0,1,5,0,4,4,0,0,0,0,1,0,7,1,0,0,0,0,115,43264,0,1803,0,male
Binyomin,Abrams,Boston University,Chemistry,Boston,MA,4.5,90,3.9,5,20,8,7,2,3,21,8,0,0,0,0,28,3,26,2,5,0,0,10,113,1209405,0,2618,0,male
Gail,Patt,Boston University,Science,Boston,MA,2.6,N/,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,76275,2356,31,0.987012987,female
Stormy,Attaway,Boston University,Engineering,Boston,MA,3.7,69,2.1,2,5,11,0,6,9,13,0,0,0,9,5,0,1,0,5,0,0,1,1,112,97014,1702,0,1,female
Christine,Rossell,Boston University,Political Science,Boston,MA,4.3,N/,2.4,1,1,0,0,3,0,0,1,0,0,0,1,2,0,0,1,0,0,0,0,110,68768,2803,0,1,female
David,Eckel,Boston University,Theology,Boston,MA,3.7,N/,3.1,1,6,0,0,3,4,3,6,0,1,0,0,0,0,1,0,4,1,0,1,109,68019,72,1999,0.034765814,male
Allison,Adair,Boston University,English,Boston,MA,4.4,N/,4.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,108,86790,2588,14,0.994619523,female
Carl,Ruck,Boston University,Classics,Boston,MA,2.5,N/,3.2,0,0,0,0,3,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,107,67922,28,1348,0.020348837,male
Glen,Hall,Boston University,Ma,Boston,MA,3.5,58,4,3,1,7,2,0,1,7,1,3,2,0,2,6,2,2,3,1,0,0,9,107,67986,37,1503,0.024025974,male
William,Keylor,Boston University,International Studies,Boston,MA,4.7,N/,2.9,0,4,0,0,2,0,0,1,0,0,0,2,1,0,3,0,1,0,0,0,105,68944,0,1639,0,male
Michael,Manove,Boston University,Economics,Boston,MA,3.6,54,2.6,3,5,6,4,1,2,17,0,8,11,0,9,4,1,2,29,3,0,0,14,104,309964,0,2118,0,male
