,FN,LN,School,Department,City,State,OQ,WTA,LOD,gives good feedback,respected,lots of homework,accessible outside class,get ready to read,participation matters,skip class? you won't pass.,inspirational,graded by few things,test heavy,group projects,clear grading criteria,hilarious,beware of pop quizzes,amazing lectures,lecture heavy,caring,extra credit,so many papers,tough grader
0,Todd,Idson,Boston University,Economics,Boston,MA,3.6,56,3.0,3,6,1,2,9,0,8,6,22,11,0,13,4,0,7,21,6,0,0,9
1,Barak,Caine,Boston University,Psychology,Boston,MA,4.6,76,2.2,9,33,0,1,2,11,27,21,6,4,0,18,19,3,40,4,4,11,0,3
2,Dan,Dill,Boston University,Chemistry,Boston,MA,2.8,69,4.2,6,3,13,10,2,4,36,1,0,7,0,1,6,16,2,7,7,0,0,35
3,Trudi,Feinstein,Boston University,Psychology,Boston,MA,2.8,N/,1.9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
4,David,Shim,Boston University,Psychology,Boston,MA,3.7,61,2.7,0,13,0,1,0,1,23,11,4,4,1,2,28,0,20,6,4,0,1,19
5,Ranjan,Panth,Boston University,Ma,Boston,MA,3.8,94,2.6,5,15,13,6,0,0,15,3,2,1,0,13,18,0,17,2,14,0,0,7
6,Michael,Corgan,Boston University,International Studies,Boston,MA,3.8,58,2.9,0,3,0,1,6,0,5,2,1,0,0,4,6,1,6,6,0,0,0,7
7,Tammy,Vigil,Boston University,Communication,Boston,MA,2.3,13,3.4,2,0,9,2,11,1,8,0,6,3,6,4,1,0,0,20,1,11,6,30
8,Tracy,Dunne,Boston University,Psychology,Boston,MA,3.8,58,2.7,1,6,0,2,3,1,12,2,10,7,0,13,26,0,16,10,1,0,0,12
9,Mark,Kean,Boston University,Business,Boston,MA,4.5,100,2.6,5,17,4,6,1,2,4,4,1,5,0,4,1,6,4,0,12,0,0,4
10,Bruce,Watson,Boston University,Economics,Boston,MA,4.1,89,2.6,1,7,8,4,1,0,2,2,3,3,1,26,8,1,13,6,4,1,0,10
11,David,Bedard,Boston University,Finance,Boston,MA,4.9,99,3.0,34,74,1,67,0,19,18,47,6,5,1,8,59,0,56,0,39,0,0,1
12,Fred,Wasserman,Boston University,Science,Boston,MA,4.0,79,2.7,0,9,0,3,0,10,5,1,4,3,0,3,6,0,6,9,7,0,0,2
13,Jay,Zagorsky,Boston University,Economics,Boston,MA,4.0,85,2.7,0,9,0,0,1,0,0,4,5,3,0,9,16,1,11,7,2,6,0,1
14,Elizabeth,Godrick,Boston University,Biology,Boston,MA,2.8,N/,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Issac,Fried,Boston University,Ma,Boston,MA,2.9,38,2.7,0,0,4,3,0,0,3,0,1,2,0,4,1,0,0,1,0,1,0,2
16,Mamikon,Ginovyan,Boston University,Ma,Boston,MA,3.5,52,2.6,3,1,14,0,2,1,3,0,3,2,0,5,0,0,0,8,3,0,0,9
17,Dan,Weiner,Boston University,Ma,Boston,MA,4.2,73,2.3,2,7,1,1,0,0,22,2,4,4,0,17,13,0,13,7,1,0,0,6
18,Richard,Ely,Boston University,Psychology,Boston,MA,4.1,N/,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Aaron,Stevens,Boston University,Computer Science,Boston,MA,3.3,50,3.4,3,1,16,2,2,5,6,0,0,1,0,4,2,1,1,1,1,1,0,17
20,Irina,Kristy,Boston University,Ma,Boston,MA,1.9,N/,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,David,Sullivan,Boston University,Computer Science,Boston,MA,4.7,91,2.8,8,29,31,2,0,11,9,14,1,0,1,13,7,0,23,2,12,1,0,5
22,Moshe,Hagigi,Boston University,Accounting,Boston,MA,4.0,72,3.3,1,17,1,3,1,19,22,6,1,5,0,5,7,0,6,4,10,0,0,7
23,John,Straub,Boston University,Chemistry,Boston,MA,4.5,100,3.3,6,12,6,6,0,0,9,4,0,2,0,5,3,0,17,2,9,0,0,3
