Date,FN,LN,School,OQ,LOD,WTA,Course,for credit,textbook used,grade received,attendence,comment,num found this useful,num did not find this useful,gives good feedback,respected,lots of homework,accessible outside class,get ready to read,participation matters,skip class? you won't pass.,inspirational,graded by few things,test heavy,group projects,clear grading criteria,hilarious,beware of pop quizzes,amazing lectures,lecture heavy,caring,extra credit,so many papers,tough grader,comment_id
05/02/2019,Aaron,Stevens,Boston University,1.0,5.0,No,CS108,Yes,No,A-,Mandatory,"Rough- Steven's flipped classroom means you watch a video of what he does, and show up to class just for him to briefly go over what he said in the video. For me- this is extremely ineffective style of learning. Stevens is snarky and rude to students who ask questions, and has no regard for how students feel/life. Please don't take this class.",2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,31744157
04/23/2019,Aaron,Stevens,Boston University,1.0,4.0,No,CS108,Yes,No,B+,Mandatory,If you want to meet the worst professor at BU. Please take him :),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,31650519
02/19/2019,Aaron,Stevens,Boston University,1.0,5.0,No,CS108,No,No,N/A,N/A,Office hours are a must. Lectures as useless Professor Stevens doesn't teach. If I could change one thing about Professor Stevens teaching style I would say patience. Covers the material way to quickly especially considering all the students are not Computer Science majors. Workload is insane.,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,31363404
02/16/2019,Aaron,Stevens,Boston University,1.0,5.0,No,CS108,Yes,No,N/A,Mandatory,By far the worst class at BU. 'Flipped Classroom Model' insures that the professor doesn't do any work. Doesn't even show up to his own office hours. Came in twice to his posted office hours and wasn't even there.,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,31360098
10/25/2018,Aaron,Stevens,Boston University,1.0,5.0,No,CS108,Yes,Yes,Not sure yet,Mandatory,"CS108 with Stevens is the worst class I have even taken in my 4 years at BU. As a Senior who is concentrating in MIS, I am required to take this class. As excited as I was to learn to code, I have been extremely disappointed by the difficultly of the course design. The lack of compassion and understanding from Stevens is disgusting and frustrating",15,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30610899
10/25/2018,Aaron,Stevens,Boston University,1.0,5.0,No,CS108,Yes,Yes,Not sure yet,Mandatory,"He makes you watch his videos he's made as examples before coming to class. Then you go to class where he just repeats what was already covered in the video with 'clicker' questions from an out-of-pocket paid-subscription $27 app (Top-Hat) to get &amp;quot;participation&amp;quot;. He won't shut up about running but if you ask for help with CS, he doesn't help you.",12,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30610847
09/26/2018,Aaron,Stevens,Boston University,1.0,5.0,No,CS108,Yes,No,N/A,Mandatory,very bad professor who does not care about his students and does not teach at all,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30523297
05/10/2018,Aaron,Stevens,Boston University,1.0,4.0,No,CS108CS10,Yes,No,N/A,Mandatory,He DOES NOT care about students grade at all. Lack of feedback. Super tough grader. Heavy workload. Grades will not reflect ur efforts.,15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,30062059
03/27/2018,Aaron,Stevens,Boston University,5.0,4.0,Yes,CS108,Yes,No,A-,Mandatory,Aaron is probably one of the best teachers at BU. He takes time to help you with assignments &amp;amp; really cares about his students. He saw that I discovered my passion in his class and even got me interview as a software engineer and helped into grad school. Just be ready to work hard &amp;amp; don't fear going to his office hours he likes it,0,17,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,29701553
02/21/2018,Aaron,Stevens,Boston University,5.0,2.0,Yes,CS108,Yes,No,Not sure yet,Not Mandatory,"He's really, really genuine and does want the best for his students. He's patient and really treats CS like a puzzle, which is a lot of fun. The only con is the workload within such a limited time frame, which he has apologized for and blamed on the school's scheduling. It's one of the few classes where I am actually really learning.",0,15,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,29584031
10/03/2017,Aaron,Stevens,Boston University,3.0,2.0,No,CS111,Yes,No,B,Not Mandatory,"You don't have to go to lecture, just watch videos and you should be all set. Tests are not reflective of Hws. I got 90s for all hws (with help of tutors), but get 80 for all exams! There were too many questions asking you to go through codes (which was what I am very bad at). Exams should associate more with homeworks!",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,28713004
05/11/2017,Aaron,Stevens,Boston University,3.0,2.0,Yes,CS111,Yes,No,A,Mandatory,"There are lots of work with problem sets, labs, readings/quizzes before each class, 2 midterms, a final exam, and a final project. That being said, the grading criteria is extremely explicit, and thus it was my easiest A of the semester. You learn a ton, and it's honestly a super fun class, but Stevens himself is pretty dry and tells bad jokes.",1,4,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,28291364
05/10/2017,Aaron,Stevens,Boston University,5.0,3.0,Yes,CS111,Yes,No,N/A,Mandatory,The best,1,9,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,28278196
